V_Gene,Background_Freq,Top_Freq,Fold_Enrichment,Odds_Ratio,P_Value,-log10(p)
TRBV5-8,0.4531911164525902,0.7000000000000001,1.5446022099447514,1.5484412990380174,0.2318435551918396,0.634804971970431
TRBV30,1.9358688666883666,2.8000000000000003,1.4463789609829705,1.4592376141800107,0.06423955511911021,1.192197474680727
TRBV5-4,1.869934984184214,2.7,1.4439004686453918,1.4562183644865279,0.060433711100026766,1.2187207351541018
TRBV28,4.142567415308345,5.800000000000001,1.4000979147778787,1.4247323936070897,0.013404395344567907,1.8727527684777343
TRBV7-8,1.6612834572723403,2.3,1.384471740768651,1.3935227643486705,0.13455175998537827,0.8711106168123941
TRBV7-3,1.332448650859227,1.7999999999999998,1.3508963357344188,1.3573282441287362,0.21065179382110216,0.676434838048084
TRBV9,4.864501698423429,6.5,1.3362108604272112,1.3595838079435414,0.022091443502903013,1.6557759034907256
TRBV10-1,0.3221579575519334,0.4,1.2416269430051814,1.2425973323345194,0.570121802478539,0.24403235040352134
TRBV7-9,5.419514760009013,6.7,1.2362730422730424,1.2532401310536359,0.0798873145589848,1.09752217701871
TRBV12-5,0.4068704774781542,0.5,1.2288923076923077,1.2300425202937766,0.6118502055278563,0.21335488967146982
TRBV13,0.98650441923934,1.2,1.2164162436548225,1.219044781027148,0.42457161813161315,0.3720490409221955
TRBV4-1,3.058414081474248,3.6999999999999997,1.2097773229635693,1.2178373031812766,0.23142904940445833,0.6355821283243813
TRBV24-1,2.084011450795797,2.5,1.1996095314377253,1.2047277245515131,0.37308801006772685,0.4281887075436367
TRBV27,4.24105093601075,5.0,1.1789530650398505,1.188371647410369,0.2376549520236837,0.6240531316844676
TRBV29-1,2.4825358671974764,2.8000000000000003,1.1278789712556732,1.1315627276292934,0.4764369490760708,0.32199456498728346
TRBV18,2.3214568884215097,2.5,1.0769099406794895,1.078881990440502,0.6733854372756984,0.17173627989292892
TRBV3-1,2.70454109183171,2.9000000000000004,1.0722706372473383,1.0744290805842827,0.6953171074173325,0.15781708514196083
TRBV6-5,4.0883180183112575,4.3,1.0517772787588036,1.0541037395598785,0.6894207762947759,0.16151563282588968
TRBV20-1,6.879240842284484,7.199999999999999,1.0466271155595994,1.050244736594396,0.6613822130477804,0.17954748894399847
TRBV5-1,4.931687490089052,5.0,1.0138517515654086,1.0145807911214828,0.8836680177123515,0.0537108629413032
TRBV15,1.2903010424230283,1.3,1.0075168175937905,1.0076158232966468,0.8884518684280684,0.051366094925496826
TRBV4-2,1.5214869342413848,1.5,0.9858776741634667,0.9856626133639257,1.0,-4.342945178152236e-11
TRBV6-4,0.2048957994274602,0.2,0.9761059063136457,0.9760580223583624,1.0,-4.342945178152236e-11
TRBV11-2,2.2826477044159006,2.1999999999999997,0.9637930530164533,0.9629785818164145,1.0,-4.342945178152236e-11
TRBV7-7,0.31506380563692965,0.3,0.9521880794701987,0.9520442121065182,1.0,-4.342945178152236e-11
TRBV6-2,3.051737232613068,2.8000000000000003,0.9175101873376179,0.9151339375901419,0.7127183649101615,0.1470820503516171
TRBV19,4.294048423846366,3.9,0.9082338192419824,0.9045096974422294,0.584683716993893,0.23307900069792936
TRBV12-3,1.8599197108924443,1.6,0.8602521875701145,0.857979865416783,0.6386552076662813,0.19473354211990962
TRBV2,3.9385062219885323,3.3000000000000003,0.8378811188811189,0.8323486234551385,0.3284574233410413,0.483520918229018
TRBV10-3,1.7530901291135648,1.3,0.7415477267317305,0.7381435934465355,0.33282567001679136,0.4777831849049442
TRBV6-6,1.6224742732667317,1.2,0.7396111111111112,0.7366410822330013,0.37745447543907584,0.42313542076169647
TRBV10-2,0.6797866746788852,0.5,0.7355248618784531,0.7341958410838724,0.6968589475178554,0.15685511927717122
TRBV14,1.3750135623492492,1.0,0.7272655538694993,0.7245106604742416,0.4114084567786619,0.38572678522761444
TRBV4-3,2.43621522822304,1.7000000000000002,0.6978036998972251,0.6925775176980926,0.1490368346224401,0.8267063816570066
TRBV7-6,1.2969778912842085,0.8999999999999999,0.6939208494208493,0.6911411194963163,0.3259437515445431,0.48685733998751846
TRBV5-6,2.9737015615480273,2.0,0.672562447375807,0.6658800483426601,0.07535002885569583,1.1229165764575577
TRBV11-3,1.0749726666499746,0.7000000000000001,0.651179347826087,0.648720390560007,0.35243879253209776,0.4529162952122208
TRBV7-2,3.407696737524725,2.1999999999999997,0.6455973548861131,0.6377059547647761,0.0353640814985372,1.4514376160168954
TRBV25-1,0.9556239932563826,0.5,0.5232183406113537,0.5208224528757324,0.18796408810201237,0.7259251176804411
TRBV6-1,2.717477486500246,1.4000000000000001,0.515183660933661,0.5082998589590881,0.008083942940632739,2.0923767551797474
TRBV11-1,0.3885091431099093,0.2,0.5147883995703545,0.5138160316336217,0.6025703277855834,0.21999225791462473
TRBV5-5,0.8124890457948372,0.4,0.49231432973805855,0.4902754314639142,0.21078337513474768,0.6761636454923741
TRBV12-4,3.2754116694625974,1.6,0.48848821505924317,0.4801709502634586,0.001702638044541032,2.7688776412489933
TRBV16,0.21658028493452514,0.0,0.0,0.0,0.286610838263071,0.5427073905183196
TRBV6-7,0.022117061852658635,0.0,0.0,0.0,1.0,-4.342945178152236e-11
TRBV6-8,0.01627481909912617,0.0,0.0,0.0,1.0,-4.342945178152236e-11
TRBV7-4,0.015022909937654923,0.0,0.0,0.0,1.0,-4.342945178152236e-11
TRBV6-9,0.009597970237946202,0.0,0.0,0.0,1.0,-4.342945178152236e-11
TRBV5-7,0.005842242753532471,0.0,0.0,0.0,1.0,-4.342945178152236e-11
TRBV5-3,0.00041730305382374787,0.0,0.0,,1.0,-4.342945178152236e-11
